CODE;PRICE;N1;N2
1;0,0107;0;0
108;0,0093;0;0
1086;0,0093;0;0
109;0,0093;0;0
11;0,0093;0;0
1129;0,0093;0;0
1139;0,0093;0;0
1150;0,0085;0;0
1171;0,0093;0;0
1172;0,0093;0;0
1173;0,0093;0;0
1177;0,0085;0;0
1178;0,0093;0;0
12;0,0093;0;0
1201;0,0078;0;0
1201555;0,0078;0;0
1202;7;1;1
1202555;7;1;1
1203;7;1;1
1203555;7;1;1
1205;0,0078;0;0
1205555;0,0078;0;0
1206;0,0078;0;0
1206555;0,0078;0;0
1207;0,0078;0;0
1207555;0,0078;0;0
1208;0,0078;0;0
1208555;0,0078;0;0
1209;7;1;1
1209555;7;1;1
1210;0,0078;0;0
1210555;0,0078;0;0
1212;7;1;1
1212555;7;1;1
1213;7;1;1
1213555;7;1;1
1214;7;1;1
1214555;7;1;1
1215;7;1;1
1215555;7;1;1
1216;0,0078;0;0
1216555;0,0078;0;0
1217;0,0078;0;0
1217555;0,0078;0;0
1218;0,0078;0;0
1218555;0,0078;0;0
1219;0,0078;0;0
1219555;0,0078;0;0
1224;7;1;1
1224555;7;1;1
1225;7;1;1
1225555;7;1;1
1227;7;1;1
1228;0,0078;0;0
1228555;0,0078;0;0
1229;0,0078;0;0
1229555;0,0078;0;0
1231;0,0078;0;0
1231555;0,0078;0;0
1234;0,0078;0;0
1234555;0,0078;0;0
1239;0,0078;0;0
1239555;0,0078;0;0
1240;7;1;1
1240555;7;1;1
1248;7;1;1
1248555;7;1;1
1249;7;1;1
1251;7;1;1
1251555;7;1;1
1252;0,0078;0;0
1252555;0,0078;0;0
1253;7;1;1
1253555;7;1;1
1254;7;1;1
1254555;7;1;1
1256;0,0078;0;0
1256555;0,0078;0;0
1260;0,0078;0;0
1260555;0,0078;0;0
1262;0,0078;0;0
1262555;0,0078;0;0
1267;7;1;1
1267555;7;1;1
1269;0,0078;0;0
1269555;0,0078;0;0
1270;0,0078;0;0
1270555;0,0078;0;0
1272;0,0087;0;0
1276;7;1;1
1276555;7;1;1
1278;7;1;1
1281;0,0078;0;0
1281555;0,0078;0;0
1282;0,0087;0;0
1283;7;1;1
1296;0,0093;0;0
13;0,0093;0;0
1301;7;1;1
1301555;7;1;1
1302;0,0078;0;0
1302555;0,0078;0;0
1303;0,0078;0;0
1303555;0,0078;0;0
1304;7;1;1
1304555;7;1;1
1305;0,0078;0;0
1305555;0,0078;0;0
1307;0,0078;0;0
1307555;0,0078;0;0
1308;0,0078;0;0
1308555;0,0078;0;0
1309;0,0078;0;0
1309555;0,0078;0;0
1310;7;1;1
1310555;7;1;1
1312;0,0078;0;0
1312555;0,0078;0;0
1313;7;1;1
1313555;7;1;1
1314;7;1;1
1314555;7;1;1
1315;0,0078;0;0
1315555;0,0078;0;0
1316;0,0078;0;0
1316555;0,0078;0;0
1317;7;1;1
1317555;7;1;1
1318;0,0078;0;0
1318555;0,0078;0;0
1319;0,0078;0;0
1319555;0,0078;0;0
1320;0,0078;0;0
1320555;0,0078;0;0
1321;0,0078;0;0
1321555;0,0078;0;0
1322;0,0078;0;0
1323;7;1;1
1323555;7;1;1
1324;0,0078;0;0
1325;7;1;1
1325555;7;1;1
1327;0,0078;0;0
1330;7;1;1
1330555;7;1;1
1331;0,0078;0;0
1331555;0,0078;0;0
1334;0,0078;0;0
1334555;0,0078;0;0
1336;7;1;1
1336555;7;1;1
1337;7;1;1
1337555;7;1;1
1339;0,0078;0;0
1339555;0,0078;0;0
1341;0,0087;0;0
1347;7;1;1
1347555;7;1;1
1351;0,0078;0;0
1351555;0,0078;0;0
1352;7;1;1
1352555;7;1;1
1360;0,0078;0;0
1360555;0,0078;0;0
1361;7;1;1
1361555;7;1;1
1364;7;1;1
1365;0,0085;0;0
1369;7;1;1
1380;7;1;1
1385;0,0078;0;0
1386;0,0078;0;0
1386555;0,0078;0;0
14;0,0093;0;0
1401;7;1;1
1401555;7;1;1
1402;0,0078;0;0
1402555;0,0078;0;0
1404;7;1;1
