Prefix;Country;;Rate;Increment;Min Time;Connection fee
93;Afghanistan;FIX;1,8488;30;0;0,0661
9370;Afghanistan;MOB;1,8488;30;0;0,0661
9379;Afghanistan;MOB;1,8488;30;0;0,0661
355;Albania;FIX;0,6638;30;0;0,0661
35538;Albania;MOB;0,6638;30;0;0,0661
3554;Albania;FIX;0,6638;30;0;0,0661
35568;Albania;MOB;0,6638;30;0;0,0661
35569;Albania;MOB;0,6638;30;0;0,0661
213;Algeria;FIX;1,2606;30;0;0,0661
21320;Algeria;FIX;1,2606;30;0;0,0661
21321;Algeria;FIX;1,2606;30;0;0,0661
2135;Algeria;MOB;1,2606;30;0;0,0661
21350;Algeria;MOB;1,2606;30;0;0,0661
21351;Algeria;MOB;1,2606;30;0;0,0661
21352;Algeria;MOB;1,2606;30;0;0,0661
21353;Algeria;MOB;1,2606;30;0;0,0661
21354;Algeria;MOB;1,2606;30;0;0,0661
2136;Algeria;MOB;1,2606;30;0;0,0661
21361;Algeria;MOB;1,2606;30;0;0,0661
21362;Algeria;MOB;1,2606;30;0;0,0661
21363;Algeria;MOB;1,2606;30;0;0,0661
21364;Algeria;MOB;1,2606;30;0;0,0661
2137;Algeria;MOB;1,2606;30;0;0,0661
21390;Algeria;MOB;1,2606;30;0;0,0661
21391;Algeria;MOB;1,2606;30;0;0,0661
21392;Algeria;MOB;1,2606;30;0;0,0661
21398;Algeria;MOB;1,009;30;0;0,0661
21399;Algeria;MOB;1,009;30;0;0,0661
684;American Samoa;FIX;1,8488;30;0;0,0661
6842;American Samoa;MOB;1,8488;30;0;0,0661
684733;American Samoa;MOB;1,8488;30;0;0,0661
376;Andorra;FIX;0,916;30;0;0,0661
3763;Andorra;MOB;0,916;30;0;0,0661
3764;Andorra;MOB;0,916;30;0;0,0661
3765;Andorra;MOB;0,916;30;0;0,0661
3766;Andorra;MOB;0,916;30;0;0,0661
244;Angola;FIX;1,8488;30;0;0,0661
2449;Angola;MOB;1,8488;30;0;0,0661
24491;Angola;MOB;1,8488;30;0;0,0661
24492;Angola;MOB;1,8488;30;0;0,0661
1264;Anguilla;FIX;1,8488;30;0;0,0661
1264235;Anguilla;MOB;1,8488;30;0;0,0661
1264469;Anguilla;MOB;1,8488;30;0;0,0661
1264476;Anguilla;MOB;1,8488;30;0;0,0661
1264497;Anguilla;MOB;1,8488;30;0;0,0661
1264581;Anguilla;MOB;1,8488;30;0;0,0661
1264582;Anguilla;MOB;1,8488;30;0;0,0661
1264583;Anguilla;MOB;1,8488;30;0;0,0661
1264584;Anguilla;MOB;1,8488;30;0;0,0661
1264729;Anguilla;MOB;1,8488;30;0;0,0661
1264772;Anguilla;MOB;1,8488;30;0;0,0661
672;Antarctica;FIX;4,2017;30;0;0,0661
67210;Antarctica;FIX;4,2017;30;0;0,0661
67211;Antarctica;FIX;4,2017;30;0;0,0661
67212;Antarctica;FIX;4,2017;30;0;0,0661
67213;Antarctica;FIX;4,2017;30;0;0,0661
1268;Antigua And Barbuda;FIX;1,8488;30;0;0,0661
1268200;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268222;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268268;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
12684;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268404;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268406;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268409;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268460;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268461;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268462;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268463;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268464;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268480;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268481;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268555;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268686;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
12687;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268739;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
1268938;Antigua And Barbuda;MOB;1,8488;30;0;0,0661
54;Argentina;FIX;0,8404;30;0;0,0661
54114;Argentina;FIX;0,8404;30;0;0,0661
54221;Argentina;FIX;0,8404;30;0;0,0661
5422141;Argentina;FIX;0,8404;30;0;0,0661
5422142;Argentina;FIX;0,8404;30;0;0,0661
5422143;Argentina;FIX;0,8404;30;0;0,0661
5422144;Argentina;FIX;0,8404;30;0;0,0661
5422145;Argentina;FIX;0,8404;30;0;0,0661
5422146;Argentina;FIX;0,8404;30;0;0,0661
5422147;Argentina;FIX;0,8404;30;0;0,0661
5422148;Argentina;FIX;0,8404;30;0;0,0661
54221490;Argentina;FIX;0,8404;30;0;0,0661
54221493;Argentina;FIX;0,8404;30;0;0,0661
54221499;Argentina;FIX;0,8404;30;0;0,0661
542215;Argentina;FIX;0,8404;30;0;0,0661
54223;Argentina;FIX;0,8404;30;0;0,0661
54261;Argentina;FIX;0,8404;30;0;0,0661
5426140;Argentina;FIX;0,8404;30;0;0,0661
5426141;Argentina;FIX;0,8404;30;0;0,0661
5426142;Argentina;FIX;0,8404;30;0;0,0661
5426143;Argentina;FIX;0,8404;30;0;0,0661
5426144;Argentina;FIX;0,8404;30;0;0,0661
5426145;Argentina;FIX;0,8404;30;0;0,0661
5426146;Argentina;FIX;0,8404;30;0;0,0661
542614893;Argentina;FIX;0,8404;30;0;0,0661
542615;Argentina;FIX;0,8404;30;0;0,0661
54341;Argentina;FIX;0,8404;30;0;0,0661
5434140;Argentina;FIX;0,8404;30;0;0,0661
5434141;Argentina;FIX;0,8404;30;0;0,0661
5434142;Argentina;FIX;0,8404;30;0;0,0661
5434143;Argentina;FIX;0,8404;30;0;0,0661
5434144;Argentina;FIX;0,8404;30;0;0,0661
5434145;Argentina;FIX;0,8404;30;0;0,0661
5434146;Argentina;FIX;0,8404;30;0;0,0661
54341471;Argentina;FIX;0,8404;30;0;0,0661
54341472;Argentina;FIX;0,8404;30;0;0,0661
54341473;Argentina;FIX;0,8404;30;0;0,0661
54341474;Argentina;FIX;0,8404;30;0;0,0661
54341477;Argentina;FIX;0,8404;30;0;0,0661
54341479;Argentina;FIX;0,8404;30;0;0,0661
5434148;Argentina;FIX;0,8404;30;0;0,0661
543414903;Argentina;FIX;0,8404;30;0;0,0661
543414906;Argentina;FIX;0,8404;30;0;0,0661
543414908;Argentina;FIX;0,8404;30;0;0,0661
54341499;Argentina;FIX;0,8404;30;0;0,0661
54341512;Argentina;FIX;0,8404;30;0;0,0661
54341516;Argentina;FIX;0,8404;30;0;0,0661
54341517;Argentina;FIX;0,8404;30;0;0,0661
54341522;Argentina;FIX;0,8404;30;0;0,0661
54341523;Argentina;FIX;0,8404;30;0;0,0661
54341524;Argentina;FIX;0,8404;30;0;0,0661
54341525;Argentina;FIX;0,8404;30;0;0,0661
54341527;Argentina;FIX;0,8404;30;0;0,0661
54341528;Argentina;FIX;0,8404;30;0;0,0661
54341529;Argentina;FIX;0,8404;30;0;0,0661
5434153;Argentina;FIX;0,8404;30;0;0,0661
54351;Argentina;FIX;0,8404;30;0;0,0661
54353;Argentina;FIX;0,8404;30;0;0,0661
54358;Argentina;FIX;0,8404;30;0;0,0661
54387;Argentina;FIX;0,8404;30;0;0,0661
549;Argentina;MOB;0,8404;30;0;0,0661
374;Armenia;FIX;0,6638;30;0;0,0661
3741;Armenia;FIX;0,6638;30;0;0,0661
37447;Armenia;FIX;0,6638;30;0;0,0661
3747;Armenia;MOB;0,6638;30;0;0,0661
37472;Armenia;MOB;0,6638;30;0;0,0661
37473;Armenia;MOB;0,6638;30;0;0,0661
37474;Armenia;MOB;0,6638;30;0;0,0661
3749;Armenia;MOB;0,6638;30;0;0,0661
37497;Armenia;MOB;0,6638;30;0;0,0661
297;Aruba;FIX;1,2606;30;0;0,0661
2971;Aruba;MOB;1,2606;30;0;0,0661
297127;Aruba;MOB;1,2606;30;0;0,0661
29756;Aruba;MOB;1,2606;30;0;0,0661
29759;Aruba;MOB;1,2606;30;0;0,0661
2976;Aruba;MOB;1,2606;30;0;0,0661
29773;Aruba;MOB;1,2606;30;0;0,0661
29774;Aruba;MOB;1,2606;30;0;0,0661
297800;Aruba;MOB;1,2606;30;0;0,0661
2979;Aruba;MOB;1,2606;30;0;0,0661
29796;Aruba;MOB;1,2606;30;0;0,0661
29799;Aruba;MOB;1,2606;30;0;0,0661
297990;Aruba;MOB;1,2606;30;0;0,0661
297992;Aruba;MOB;1,2606;30;0;0,0661
297993;Aruba;MOB;1,2606;30;0;0,0661
297994;Aruba;MOB;1,2606;30;0;0,0661
297995;Aruba;MOB;1,2606;30;0;0,0661
297996;Aruba;MOB;1,2606;30;0;0,0661
297997;Aruba;MOB;1,2606;30;0;0,0661
297998;Aruba;MOB;1,2606;30;0;0,0661
297999;Aruba;MOB;1,2606;30;0;0,0661
247;Ascension Island;FIX;1,8488;30;0;0,0661
61;Australia;FIX;0,2017;30;0;0,0661
6107;Australia;MOB;0,832;30;0;0,0661
61071;Australia;MOB;0,832;30;0;0,0661
6108;Australia;MOB;0,832;30;0;0,0661
611;Australia;MOB;0,832;30;0;0,0661
6114;Australia;MOB;0,832;30;0;0,0661
61145;Australia;MOB;0,832;30;0;0,0661
61147;Australia;MOB;0,832;30;0;0,0661
6115;Australia;MOB;0,832;30;0;0,0661
6116;Australia;MOB;0,832;30;0;0,0661
6117;Australia;MOB;0,832;30;0;0,0661
6118;Australia;MOB;0,832;30;0;0,0661
6119;Australia;MOB;0,832;30;0;0,0661
612;Australia;FIX;0,2017;30;0;0,0661
613;Australia;FIX;0,2017;30;0;0,0661
614;Australia;MOB;0,832;30;0;0,0661
61400;Australia;MOB;0,832;30;0;0,0661
61405;Australia;MOB;0,832;30;0;0,0661
61406;Australia;MOB;0,832;30;0;0,0661
61410;Australia;MOB;0,832;30;0;0,0661
61414;Australia;MOB;0,832;30;0;0,0661
61415;Australia;MOB;0,832;30;0;0,0661
61416;Australia;MOB;0,832;30;0;0,0661
61424;Australia;MOB;0,832;30;0;0,0661
615;Australia;MOB;0,832;30;0;0,0661
61500;Australia;MOB;0,832;30;0;0,0661
6171;Australia;MOB;0,832;30;0;0,0661
6178;Australia;MOB;0,832;30;0;0,0661
6179;Australia;MOB;0,832;30;0;0,0661
61891;Australia;FIX;0,2017;30;0;0,0661
43;Austria;FIX;0,1345;30;0;0,0661
431;Austria;FIX;0,1345;30;0;0,0661
43454;Austria;MOB;0,7227;30;0;0,0661
43644;Austria;MOB;0,7227;30;0;0,0661
43650;Austria;MOB;0,7227;30;0;0,0661
4366;Austria;MOB;0,7227;30;0;0,0661
43660;Austria;MOB;0,7227;30;0;0,0661
43661;Austria;MOB;0,7227;30;0;0,0661
43663;Austria;MOB;0,7227;30;0;0,0661
43664;Austria;MOB;0,7227;30;0;0,0661
43665;Austria;MOB;0,7227;30;0;0,0661
43666;Austria;MOB;0,7227;30;0;0,0661
43667;Austria;MOB;0,7227;30;0;0,0661
43668;Austria;MOB;0,7227;30;0;0,0661
43669;Austria;MOB;0,7227;30;0;0,0661
43676;Austria;MOB;0,7227;30;0;0,0661
43678;Austria;MOB;0,7227;30;0;0,0661
4367833;Austria;MOB;0,7227;30;0;0,0661
4367890;Austria;MOB;0,7227;30;0;0,0661
4367891;Austria;MOB;0,7227;30;0;0,0661
4368;Austria;MOB;0,7227;30;0;0,0661
43680;Austria;MOB;0,7227;30;0;0,0661
43681;Austria;MOB;0,7227;30;0;0,0661
43686;Austria;MOB;0,7227;30;0;0,0661
43688;Austria;MOB;0,7227;30;0;0,0661
436888;Austria;MOB;0,7227;30;0;0,0661
43699;Austria;MOB;0,7227;30;0;0,0661
4369988;Austria;MOB;0,7227;30;0;0,0661
4369989;Austria;MOB;0,7227;30;0;0,0661
43711;Austria;NGN;0,7227;30;0;0,0661
43720;Austria;NGN;0,7227;30;0;0,0661
43730;Austria;NGN;0,7227;30;0;0,0661
43740;Austria;NGN;0,7227;30;0;0,0661
43780;Austria;NGN;0,7227;30;0;0,0661
437810;Austria;MOB;0,7227;30;0;0,0661
437820;Austria;MOB;0,7227;30;0;0,0661
438;Austria;NGN;0,7227;30;0;0,0661
43810;Austria;MOB;0,7227;30;0;0,0661
43820;Austria;MOB;0,7227;30;0;0,0661
439;Austria;NGN;0,7227;30;0;0,0661
994;Azerbaijan;FIX;0,6638;30;0;0,0661
99412;Azerbaijan;FIX;0,6638;30;0;0,0661
99450;Azerbaijan;MOB;0,6638;30;0;0,0661
99455;Azerbaijan;MOB;0,6638;30;0;0,0661
1242;Bahamas;FIX;0,916;30;0;0,0661
1242357;Bahamas;MOB;0,916;30;0;0,0661
1242359;Bahamas;MOB;0,916;30;0;0,0661
1242427;Bahamas;MOB;0,916;30;0;0,0661
1242457;Bahamas;MOB;0,916;30;0;0,0661
1242477;Bahamas;MOB;0,916;30;0;0,0661
1242557;Bahamas;MOB;0,916;30;0;0,0661
973;Bahrain;FIX;0,916;30;0;0,0661
97336;Bahrain;MOB;0,916;30;0;0,0661
97339;Bahrain;MOB;0,916;30;0;0,0661
9739;Bahrain;MOB;0,916;30;0;0,0661
973900;Bahrain;NGN;0,916;30;0;0,0661
973902;Bahrain;MOB;0,916;30;0;0,0661
973903;Bahrain;MOB;0,916;30;0;0,0661
973904;Bahrain;MOB;0,916;30;0;0,0661
973905;Bahrain;MOB;0,916;30;0;0,0661
973906;Bahrain;MOB;0,916;30;0;0,0661
973907;Bahrain;MOB;0,916;30;0;0,0661
973908;Bahrain;MOB;0,916;30;0;0,0661
973909;Bahrain;MOB;0,916;30;0;0,0661
973912;Bahrain;MOB;0,916;30;0;0,0661
973913;Bahrain;MOB;0,916;30;0;0,0661
973914;Bahrain;MOB;0,916;30;0;0,0661
973915;Bahrain;MOB;0,916;30;0;0,0661
973916;Bahrain;MOB;0,916;30;0;0,0661
973917;Bahrain;MOB;0,916;30;0;0,0661
973918;Bahrain;MOB;0,916;30;0;0,0661
973919;Bahrain;MOB;0,916;30;0;0,0661
97392;Bahrain;MOB;0,916;30;0;0,0661
97394;Bahrain;MOB;0,916;30;0;0,0661
973940;Bahrain;MOB;0,916;30;0;0,0661
973941;Bahrain;MOB;0,916;30;0;0,0661
973942;Bahrain;MOB;0,916;30;0;0,0661
973943;Bahrain;MOB;0,916;30;0;0,0661
973944;Bahrain;MOB;0,916;30;0;0,0661
973945;Bahrain;MOB;0,916;30;0;0,0661
973946;Bahrain;MOB;0,916;30;0;0,0661
973947;Bahrain;MOB;0,916;30;0;0,0661
97396;Bahrain;MOB;0,916;30;0;0,0661
97397;Bahrain;MOB;0,916;30;0;0,0661
97398;Bahrain;MOB;0,916;30;0;0,0661
880;Bangladesh;FIX;1,8488;30;0;0,0661
8801;Bangladesh;MOB;1,8488;30;0;0,0661
88011;Bangladesh;MOB;1,8488;30;0;0,0661
88017;Bangladesh;MOB;1,8488;30;0;0,0661
88018;Bangladesh;MOB;1,8488;30;0;0,0661
88019;Bangladesh;MOB;1,8488;30;0;0,0661
8802;Bangladesh;FIX;1,8488;30;0;0,0661
88031;Bangladesh;FIX;1,8488;30;0;0,0661
880821;Bangladesh;FIX;1,8488;30;0;0,0661
880999;Bangladesh;NGN;1,8488;30;0;0,0661
