"Prefix";"Country";;"Rate";"Increment";"Min Time";"Connection fee()"
213;"Algeria";"FIX";1.26;30;0;0.07
21320;"Algeria";"FIX";1.26;30;0;0.07
21321;"Algeria";"FIX";1.26;30;0;0.07
2135;"Algeria";"MOB";1.26;30;0;0.07
21350;"Algeria";"MOB";1.26;30;0;0.07
21351;"Algeria";"MOB";1.26;30;0;0.07
21352;"Algeria";"MOB";1.26;30;0;0.07
21353;"Algeria";"MOB";1.26;30;0;0.07
21354;"Algeria";"MOB";1.26;30;0;0.07
2136;"Algeria";"MOB";1.26;30;0;0.07
21361;"Algeria";"MOB";1.26;30;0;0.07
21362;"Algeria";"MOB";1.26;30;0;0.07
21363;"Algeria";"MOB";1.26;30;0;0.07
21364;"Algeria";"MOB";1.26;30;0;0.07
2137;"Algeria";"MOB";1.26;30;0;0.07
21390;"Algeria";"MOB";1.26;30;0;0.07
21391;"Algeria";"MOB";1.26;30;0;0.07
21392;"Algeria";"MOB";1.26;30;0;0.07
21398;"Algeria";"MOB";1009;30;0;0.07
21399;"Algeria";"MOB";1009;30;0;0.07
