Date;Source;Destination;Prefix;Direction;Billsec;Status;N;a;a;a;a;a;a;a;a;a;a;a;a;a;a
2011-11-21 02:38:14;0;79108300830;791083;Russian Federation MOB Russia 79 Tver MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 05:10:04;0;79145386868;7914538;Russian Federation MOB Russia Amur Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 05:16:52;0;79198021460;791980;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 05:17:30;0;79198021460;791980;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 05:35:47;0;79146350747;791463;Russian Federation MOB Russia Buryatiya Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 05:35:58;0;79146350747;791463;Russian Federation MOB Russia Buryatiya Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 05:38:01;0;79146350747;791463;Russian Federation MOB Russia Buryatiya Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 05:39:58;0;79174957700;79174;Russian Federation MOB Russia Bashkortostan Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 05:53:15;0;79178102904;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 05:53:16;0;79178102904;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 05:54:56;0;79178102904;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 05:54:59;0;79178102904;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:02:05;0;79372119053;793721;Russian Federation MOB Samara Tolyatti MegaFon;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,022292;0;;0;0;0;0
2011-11-21 06:05:35;0;79170334262;791703;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:12:07;0;79178141370;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:12:41;0;79178141370;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:12:42;0;79178141370;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:13:13;0;79178141370;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:14:36;0;79178141370;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:14:39;0;79178141370;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:18:17;0;79109131738;791091;Russian Federation MOB Russia Kaluga Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:18:19;0;79109131738;791091;Russian Federation MOB Russia Kaluga Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:20:47;0;79199091000;791990;Russian Federation MOB Russia 79 Udmurt MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:20:54;0;79199091000;791990;Russian Federation MOB Russia 79 Udmurt MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:20:58;0;79199091000;791990;Russian Federation MOB Russia 79 Udmurt MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:21:03;0;79199091000;791990;Russian Federation MOB Russia 79 Udmurt MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:21:08;0;79199091000;791990;Russian Federation MOB Russia 79 Udmurt MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:22:41;0;79178238374;791782;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:23:16;0;79178238374;791782;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:23:21;0;79178238374;791782;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 06:23:23;0;79178238374;791782;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,013375;0;;0;0;0;0
2011-11-21 06:36:57;0;79145505255;791455;Russian Federation MOB Russia Amur Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:37:05;0;79145505255;791455;Russian Federation MOB Russia Amur Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 06:37:12;0;79145505255;791455;Russian Federation MOB Russia Amur Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 07:14:05;0;6499848161;;  ;0;ANSWERED(227);1;;0;0; ;0;0; ;0;0;6499848161;0;0;0;0
2011-11-21 07:22:15;0;79142522436;791425;Russian Federation MOB Russia 79 Sakha Yakutia MTS  ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 07:24:48;0;79171072191;791710;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 07:26:13;0;79145636131;791456;Russian Federation MOB Russia Amur Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 07:26:21;0;79145636131;791456;Russian Federation MOB Russia Amur Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 07:27:27;0;79148488961;791484;Russian Federation MOB Russia Buryatiya Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 07:27:31;0;79148488961;791484;Russian Federation MOB Russia Buryatiya Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 07:38:38;0;79608384202;796083;Russian Federation MOB Samara Beeline;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,018576;0;;0;0;0;0
2011-11-21 07:38:45;0;79179691833;791796;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
